job-ID  prior   name       user         state submit/start at     queue                          slots ja-task-ID 
-----------------------------------------------------------------------------------------------------------------
9131635 0.50386 download-T twarowski    r     09/28/2022 18:25:40 TELOMER@argon-lc-d7-25.hpc         8        
9140730 0.50012 clusterArr twarowski    Rr    09/29/2022 09:28:33 all.q@argon-itf-bx50-05.hpc        4 1
9140767 0.50012 clusterArr twarowski    r     09/29/2022 09:14:14 all.q@argon-itf-bx48-31.hpc        4 1
9140767 0.50012 clusterArr twarowski    r     09/29/2022 09:14:14 all.q@argon-itf-bx50-09.hpc        4 8
9140767 0.50012 clusterArr twarowski    r     09/29/2022 09:14:14 all.q@argon-itf-bx48-11.hpc        4 11
9140807 0.50011 clusterArr twarowski    r     09/29/2022 09:21:12 all.q@argon-itf-bx50-15.hpc        4 1
9140896 0.50011 clusterArr twarowski    r     09/29/2022 09:25:25 all.q@argon-itf-bx50-15.hpc        4 1
9140896 0.50011 clusterArr twarowski    r     09/29/2022 09:25:25 all.q@argon-itf-bx50-12.hpc        4 2
9140896 0.50011 clusterArr twarowski    r     09/29/2022 09:26:15 all.q@argon-itf-bx50-10.hpc        4 17
9140905 0.50011 clusterArr twarowski    r     09/29/2022 09:26:45 all.q@argon-itf-bx50-09.hpc        4 2
9140970 0.50010 clusterArr twarowski    r     09/29/2022 09:32:59 all.q@argon-itf-bx50-12.hpc        4 17
9140985 0.50010 clusterArr twarowski    r     09/29/2022 09:33:50 all.q@argon-itf-bx54-08.hpc        4 19
9141015 0.50010 clusterArr twarowski    r     09/29/2022 09:36:01 all.q@argon-itf-bx50-12.hpc        4 24
9141019 0.50010 clusterArr twarowski    r     09/29/2022 09:36:10 all.q@argon-itf-bx50-13.hpc        4 12
9141019 0.50010 clusterArr twarowski    r     09/29/2022 09:36:27 all.q@argon-lc-d7-21.hpc           4 15
9141019 0.50010 clusterArr twarowski    r     09/29/2022 09:36:27 all.q@argon-itf-bx50-09.hpc        4 17
9141023 0.50010 clusterArr twarowski    r     09/29/2022 09:36:35 all.q@argon-lc-g21-16.hpc          4 1
9141038 0.50010 clusterArr twarowski    r     09/29/2022 09:38:54 all.q@argon-lc-h21-08.hpc          4 6
9141038 0.50010 clusterArr twarowski    r     09/29/2022 09:38:54 all.q@argon-itf-bx50-15.hpc        4 12
9141042 0.50010 clusterArr twarowski    r     09/29/2022 09:39:11 all.q@argon-itf-bx50-08.hpc        4 3
9141058 0.50010 clusterArr twarowski    r     09/29/2022 09:40:40 all.q@argon-itf-bx50-13.hpc        4 1
9141058 0.50010 clusterArr twarowski    r     09/29/2022 09:40:40 all.q@argon-itf-bx48-05.hpc        4 7
9141069 0.50010 clusterArr twarowski    r     09/29/2022 09:41:19 all.q@argon-itf-bx50-01.hpc        4 1
9141083 0.50009 clusterArr twarowski    r     09/29/2022 09:42:41 all.q@argon-itf-bx50-01.hpc        4 1
9141088 0.50009 clusterArr twarowski    r     09/29/2022 09:43:31 all.q@argon-itf-bx50-08.hpc        4 1
9141088 0.50009 clusterArr twarowski    r     09/29/2022 09:43:33 all.q@argon-itf-bx50-10.hpc        4 10
9141088 0.50009 clusterArr twarowski    r     09/29/2022 09:43:33 all.q@argon-itf-bx50-01.hpc        4 11
9141088 0.50009 clusterArr twarowski    r     09/29/2022 09:43:33 all.q@argon-itf-bx50-01.hpc        4 12
9141132 0.50009 clusterArr twarowski    r     09/29/2022 09:46:59 all.q@argon-itf-bx54-04.hpc        4 3
9141133 0.50009 clusterArr twarowski    r     09/29/2022 09:47:25 all.q@argon-itf-bx50-15.hpc        4 1
9141135 0.50009 clusterArr twarowski    r     09/29/2022 09:48:10 all.q@argon-itf-bx53-14.hpc        4 1
9141135 0.50009 clusterArr twarowski    r     09/29/2022 09:48:10 all.q@argon-itf-bx54-04.hpc        4 2
9141135 0.50009 clusterArr twarowski    r     09/29/2022 09:48:26 all.q@argon-itf-bx48-05.hpc        4 11
9141135 0.50009 clusterArr twarowski    r     09/29/2022 09:48:26 all.q@argon-itf-bx50-02.hpc        4 17
9141136 0.50009 clusterArr twarowski    r     09/29/2022 09:48:26 all.q@argon-itf-ca37-30.hpc        4 3
9141136 0.50009 clusterArr twarowski    r     09/29/2022 09:48:47 all.q@argon-itf-bx50-08.hpc        4 12
9141136 0.50009 clusterArr twarowski    r     09/29/2022 09:48:47 all.q@argon-itf-bx50-03.hpc        4 14
9141136 0.50009 clusterArr twarowski    r     09/29/2022 09:48:47 all.q@argon-itf-bx50-09.hpc        4 16
9141139 0.50009 clusterArr twarowski    r     09/29/2022 09:49:31 all.q@argon-itf-ca37-15.hpc        4 2
9141139 0.50009 clusterArr twarowski    r     09/29/2022 09:49:47 all.q@argon-itf-bx50-13.hpc        4 12
9141139 0.50009 clusterArr twarowski    r     09/29/2022 09:49:47 all.q@argon-itf-bx50-03.hpc        4 16
9141139 0.50009 clusterArr twarowski    r     09/29/2022 09:49:47 all.q@argon-itf-bx53-13.hpc        4 19
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-lc-i18-23.hpc          4 1
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx48-34.hpc        4 2
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx48-36.hpc        4 3
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx48-05.hpc        4 6
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx48-10.hpc        4 7
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx50-15.hpc        4 9
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx54-05.hpc        4 10
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx54-02.hpc        4 11
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx53-09.hpc        4 12
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx54-03.hpc        4 14
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-ca37-24.hpc        4 17
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx55-04.hpc        4 19
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx55-02.hpc        4 20
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:34 all.q@argon-itf-bx54-14.hpc        4 22
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:42 all.q@argon-lc-h21-25.hpc          4 23
9141146 0.50009 clusterArr twarowski    r     09/29/2022 09:51:42 all.q@argon-itf-bx48-07.hpc        4 24
9141147 0.50009 clusterArr twarowski    r     09/29/2022 09:51:59 all.q@argon-lc-g11-08.hpc          4 2
9141150 0.50009 clusterArr twarowski    Rr    09/29/2022 09:56:06 all.q@argon-lc-d7-15.hpc           4 1
9141150 0.50009 clusterArr twarowski    r     09/29/2022 09:51:59 all.q@argon-itf-bx50-09.hpc        4 6
9141150 0.50009 clusterArr twarowski    r     09/29/2022 09:51:59 all.q@argon-itf-bx50-09.hpc        4 7
9141150 0.50009 clusterArr twarowski    r     09/29/2022 09:51:59 all.q@argon-itf-bx54-02.hpc        4 15
9141150 0.50009 clusterArr twarowski    r     09/29/2022 09:51:59 all.q@argon-itf-ca37-18.hpc        4 17
9141151 0.50009 clusterArr twarowski    r     09/29/2022 09:51:59 all.q@argon-itf-bx48-22.hpc        4 1
9141151 0.50009 clusterArr twarowski    r     09/29/2022 09:52:17 all.q@argon-itf-bx50-09.hpc        4 7
9141151 0.50009 clusterArr twarowski    r     09/29/2022 09:52:17 all.q@argon-itf-ca38-39.hpc        4 10
9141151 0.50009 clusterArr twarowski    r     09/29/2022 09:52:17 all.q@argon-itf-ca39-39.hpc        4 11
9141151 0.50009 clusterArr twarowski    r     09/29/2022 09:52:17 all.q@argon-itf-bx54-13.hpc        4 12
9141151 0.50009 clusterArr twarowski    r     09/29/2022 09:52:31 all.q@argon-lc-d7-15.hpc           4 15
9141151 0.50009 clusterArr twarowski    Rr    09/29/2022 09:56:06 all.q@argon-lc-g11-06.hpc          4 24
9141152 0.50009 clusterArr twarowski    r     09/29/2022 09:52:31 all.q@argon-itf-bx53-09.hpc        4 1
9141152 0.50009 clusterArr twarowski    r     09/29/2022 09:52:31 all.q@argon-itf-bx53-13.hpc        4 2
9141152 0.50009 clusterArr twarowski    r     09/29/2022 09:52:31 all.q@argon-itf-ca37-12.hpc        4 5
9141152 0.50009 clusterArr twarowski    r     09/29/2022 09:52:43 all.q@argon-itf-bx50-05.hpc        4 18
9141152 0.50009 clusterArr twarowski    r     09/29/2022 09:52:43 all.q@argon-itf-bx50-05.hpc        4 19
9141154 0.50009 clusterArr twarowski    r     09/29/2022 09:53:42 all.q@argon-lc-h21-39.hpc          4 1
9141154 0.50009 clusterArr twarowski    r     09/29/2022 09:53:42 all.q@argon-itf-bx50-15.hpc        4 14
9141154 0.50009 clusterArr twarowski    r     09/29/2022 09:53:42 all.q@argon-itf-bx50-10.hpc        4 15
9141158 0.50009 clusterArr twarowski    r     09/29/2022 09:54:16 all.q@argon-itf-bx53-12.hpc        4 1
9141160 0.50009 clusterArr twarowski    r     09/29/2022 09:54:43 all.q@argon-itf-bx48-03.hpc        4 1
9141160 0.50009 clusterArr twarowski    r     09/29/2022 09:55:18 all.q@argon-lc-d7-15.hpc           4 14
9141163 0.50009 clusterArr twarowski    r     09/29/2022 09:55:18 all.q@argon-itf-bx48-11.hpc        4 1
9141163 0.50009 clusterArr twarowski    r     09/29/2022 09:55:18 all.q@argon-itf-bx50-08.hpc        4 4
9141163 0.50009 clusterArr twarowski    r     09/29/2022 09:55:18 all.q@argon-itf-bx50-01.hpc        4 5
9141163 0.50009 clusterArr twarowski    r     09/29/2022 09:55:18 all.q@argon-itf-bx50-05.hpc        4 6
9141163 0.50009 clusterArr twarowski    r     09/29/2022 09:55:18 all.q@argon-itf-bx50-13.hpc        4 7
9141163 0.50009 clusterArr twarowski    r     09/29/2022 09:55:18 all.q@argon-itf-ca40-21.hpc        4 12
9141163 0.50009 clusterArr twarowski    r     09/29/2022 09:55:18 all.q@argon-itf-bx54-05.hpc        4 14
9141163 0.50009 clusterArr twarowski    r     09/29/2022 09:55:18 all.q@argon-itf-ca37-27.hpc        4 16
9141163 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx48-20.hpc        4 24
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx50-03.hpc        4 1
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx48-23.hpc        4 2
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx50-14.hpc        4 3
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx47-38.hpc        4 6
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx50-09.hpc        4 7
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx50-15.hpc        4 8
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx50-02.hpc        4 9
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx50-10.hpc        4 10
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx50-05.hpc        4 11
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx50-05.hpc        4 12
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx50-13.hpc        4 13
9141168 0.50009 clusterArr twarowski    r     09/29/2022 09:55:31 all.q@argon-itf-bx48-03.hpc        4 17
